Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,X3PAr,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,MPTotal
1,Alex Abrines,SG,24,OKL,66,8,15.2,1.6,4,0.395,1.1,3,0.383,0.4,1,0.433,0.538,0.5,0.6,0.872,0.4,1.2,1.6,0.4,0.5,0.1,0.4,1.6,4.8,9.2,0.566,0.745,0.148,2.6,9.2,5.8,3.4,1.8,0.7,8.2,13.1,1.1,0.9,2,0.094,-0.6,-1.6,-2.3,-0.1,990
2,Quincy Acy,PF,27,BRO,61,8,19.4,1.7,5.1,0.339,1.3,4,0.331,0.4,1.1,0.369,0.469,0.8,0.9,0.821,0.6,3.1,3.7,0.8,0.5,0.3,0.9,2.1,5.5,7.2,0.504,0.79,0.181,3.3,17.4,10.2,5.8,1.2,1.3,14.6,14.3,-0.4,0.9,0.5,0.02,-2.7,-0.2,-2.9,-0.3,1159
3,Steven Adams,C,24,OKL,66,66,32.5,6,9.4,0.635,0,0,0,6,9.3,0.637,0.635,2,3.5,0.568,5.1,3.9,9,1.1,1.3,1.1,1.6,2.9,13.9,21.2,0.636,0.003,0.378,16.9,13.8,15.4,5.1,1.9,3.1,13,16.7,6,2.7,8.7,0.195,2.4,1.2,3.5,3,2112
4,Bam Adebayo,C,20,MIA,60,15,20.2,2.6,4.9,0.52,0,0.1,0,2.6,4.8,0.533,0.52,1.9,2.7,0.723,1.7,3.9,5.6,1.6,0.5,0.6,0.9,2.1,7.1,16.3,0.578,0.024,0.537,9.6,21.9,15.7,11.6,1.2,2.7,12.9,15.6,2.3,1.7,4,0.159,-1.2,2,0.8,0.8,1200
5,Arron Afflalo,SG,32,ORL,47,2,12.7,1.2,3,0.397,0.5,1.3,0.39,0.7,1.7,0.402,0.479,0.4,0.5,0.833,0.1,1.3,1.3,0.6,0,0.1,0.4,1.1,3.3,5.5,0.511,0.418,0.17,0.6,11,5.8,6.1,0.2,0.9,10.6,12.5,-0.1,0.1,0,0.003,-4.1,-2,-6.1,-0.6,564
6,Cole Aldrich,C,29,MIN,17,0,1.9,0.2,0.6,0.273,0,0,NA,0.2,0.6,0.273,0.273,0.1,0.2,0.5,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.4,0.5,5.1,0.313,0,0.364,10.4,17.7,14,4,3,2.7,7.3,18.5,-0.1,0,0,-0.049,-7.5,-0.3,-7.7,0,17
7,LaMarcus Aldridge,C,32,SAS,63,63,33.5,8.9,17.7,0.5,0.4,1.3,0.301,8.5,16.4,0.516,0.512,4.4,5.3,0.832,3.3,5,8.3,2,0.5,1.1,1.5,2.2,22.5,23.8,0.562,0.074,0.299,10.9,16.5,13.7,11.2,0.8,2.8,7.1,28.8,5.6,3,8.6,0.196,2.4,0.2,2.6,2.4,2079
8,Jarrett Allen,C,19,BRO,60,19,19.1,3.2,5.5,0.581,0.1,0.2,0.273,3.2,5.4,0.592,0.586,1.5,1.9,0.784,2.1,3.2,5.3,0.7,0.4,1,1.1,2,8,17.8,0.627,0.033,0.349,11.5,18,14.7,6.1,1,3.7,14.9,16.9,2.2,1.2,3.4,0.14,-1,1.1,0.1,0.6,1140
9,Kadeem Allen,PG,25,BOS,9,0,3.4,0.1,0.7,0.167,0,0.3,0,0.1,0.3,0.333,0.167,0.3,0.4,0.75,0.1,0.3,0.4,0.2,0.1,0,0.3,0.2,0.6,-0.1,0.322,0.5,0.667,3.6,10.4,7.1,8.5,1.6,0,27.9,15.5,-0.1,0,-0.1,-0.103,-9,0,-9,-0.1,27
10,Tony Allen,SF,36,NOP,22,0,12.4,2,4.1,0.484,0.2,0.5,0.333,1.8,3.6,0.506,0.505,0.5,1,0.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7,8.7,0.514,0.132,0.231,8.3,10.5,9.4,4.7,1.9,0.9,15.9,19,-0.2,0.2,0.1,0.014,-3.9,-1.4,-5.3,-0.2,264
11,Al-Farouq Aminu,PF,27,POR,57,55,29.8,3.3,8.3,0.399,1.9,4.7,0.393,1.4,3.5,0.408,0.512,0.8,1.1,0.746,1.3,6.2,7.4,1.2,1,0.6,1.1,1.9,9.3,11.8,0.53,0.573,0.134,4.8,22.2,13.6,5.6,1.6,1.6,10.9,14.5,0.9,2.6,3.6,0.1,-0.8,1.7,0.9,1.2,1653
12,Justin Anderson,SF,24,PHI,29,0,13.3,2.2,5,0.444,0.9,2.4,0.371,1.3,2.6,0.514,0.535,0.6,0.9,0.68,0.6,1.7,2.3,0.5,0.4,0.2,0.3,1.5,5.9,12.9,0.552,0.486,0.174,4.9,13.4,9.3,5.9,1.5,1.1,6.1,18.3,0.5,0.5,0.9,0.115,-0.5,-1.7,-2.2,0,377
13,Kyle Anderson,SF,24,SAS,62,56,27,3.1,6,0.517,0.2,0.7,0.289,2.9,5.3,0.548,0.535,1.5,2.1,0.729,1.1,4.5,5.6,2.8,1.5,0.8,1.3,1.5,8,15.6,0.573,0.12,0.344,4.6,18.2,11.4,14.7,2.9,2.4,16,13.7,1.8,3.3,5.2,0.148,-0.6,4.4,3.8,2.5,1674
14,Ryan Anderson,PF,29,HOU,59,50,27.1,3.3,7.6,0.435,2.1,5.4,0.388,1.2,2.2,0.55,0.572,1.1,1.4,0.788,1.5,3.7,5.2,0.9,0.4,0.3,0.7,1.9,9.9,12.8,0.597,0.71,0.188,6.2,15.6,10.9,5.1,0.7,1,7.7,14.6,2.9,1.4,4.4,0.131,1.3,-0.9,0.4,1,1593
15,Ike Anigbogu,C,19,IND,10,0,2.8,0.4,0.9,0.444,0,0,NA,0.4,0.9,0.444,0.444,0.5,0.6,0.833,0.5,0.4,0.9,0,0.1,0.3,0.2,0.1,1.3,23.1,0.558,0,0.667,20.4,16,18.2,0,1.8,9.5,14.7,21.7,0.1,0,0.1,0.176,-4.1,-1.3,-5.4,0,20
16,Giannis Antetokounmpo,PF,23,MIL,65,65,37.2,10,19,0.53,0.6,1.8,0.303,9.5,17.1,0.554,0.544,6.7,8.9,0.757,2.1,8,10.1,4.8,1.5,1.4,2.9,3.1,27.4,27.8,0.598,0.097,0.468,6.8,25.3,16.1,24,2,3.3,11.3,31.5,7.6,3.4,11,0.218,4.2,2.1,6.3,5,2405
17,Carmelo Anthony,PF,33,OKL,68,68,32.2,6.3,15.3,0.409,2.2,6.1,0.363,4,9.2,0.439,0.481,2,2.5,0.769,0.8,5,5.8,1.3,0.6,0.6,1.3,2.6,16.7,13.1,0.508,0.397,0.166,2.7,17.9,10.1,6.3,1,1.8,7.3,23.7,1.2,2.2,3.4,0.075,-1.8,-2,-3.8,-1,2176
18,OG Anunoby,SF,20,TOR,62,50,20.3,2.2,4.7,0.459,1,2.7,0.355,1.2,2,0.602,0.562,0.6,0.9,0.66,0.6,1.8,2.4,0.8,0.8,0.2,0.6,1.7,5.9,9.6,0.576,0.579,0.182,3.3,9.9,6.6,5.1,1.8,0.6,11,12.3,1,1.4,2.5,0.094,0.1,0.4,0.5,0.8,1240
19,Ryan Arcidiacono,PG,23,CHI,13,0,9.2,0.4,0.9,0.417,0.2,0.8,0.3,0.2,0.2,1,0.542,0.2,0.2,1,0,0.5,0.5,1,0.4,0,0.2,0.8,1.2,6.7,0.582,0.833,0.167,0,6.5,3.1,14.2,2,0,18.9,5.8,0.1,0.1,0.2,0.064,-3.2,-1.1,-4.3,-0.1,117
20,Trevor Ariza,SF,32,HOU,57,57,34.5,4.1,9.7,0.424,2.6,7,0.38,1.5,2.7,0.535,0.561,1.2,1.3,0.868,0.6,3.9,4.5,1.6,1.5,0.2,0.9,2,12,12.2,0.585,0.719,0.138,1.9,12.9,7.4,6.7,2.1,0.5,7.9,14.2,2.6,2.2,4.8,0.117,1.2,0.6,1.9,1.9,1938
21,Darrell Arthur,PF,29,DEN,18,1,7.4,1.2,2.5,0.467,0.4,1.2,0.333,0.8,1.3,0.583,0.544,0.1,0.2,0.667,0.2,0.7,0.8,0.5,0.4,0.1,0.8,1.1,2.8,8.2,0.551,0.467,0.067,2.5,10.2,6.4,9.9,3,1.3,24.5,20,-0.2,0.1,-0.1,-0.019,-3.8,-1,-4.8,-0.1,126
22,Jamel Artis,SG,25,ORL,5,0,11,0.8,3.4,0.235,0,1,0,0.8,2.4,0.333,0.235,0.2,0.6,0.333,0.2,1.2,1.4,0.8,0,0,0,0,1.8,0.8,0.246,0.294,0.176,2,12.2,7.1,9.8,0,0,0,14.7,-0.2,0,-0.1,-0.131,-8.3,-3.1,-11.4,-0.1,55
