lastName,firstName,POS,Team,FGA,FTA,REB,AST,PTS,TOV,STL,BLK,SEC
Abrines,Alex,SG,Thunder,263,39,103,25,317,25,36,8,59896
Acy,Quincy,PF,Nets,310,56,229,48,337,57,29,20,71066
Adams,Steven,C,Thunder,619,234,591,71,919,110,84,75,128044
Adebayo,Bam,C,Heat,296,159,338,94,423,55,29,39,72656
Afflalo,Arron,SG,Magic,141,24,62,26,155,18,2,7,35736
Ajinca,Alexis,C,Pelicans,0,0,0,0,0,0,0,0,0
Aldrich,Cole,C,Timberwolves,11,4,8,1,8,1,2,1,1980
Aldridge,LaMarcus,PF,Spurs,1115,333,523,129,1418,97,32,69,126518
Allen,Jarrett,C,Nets,332,116,318,43,480,67,24,57,68905
Allen,Kadeem,SG,Celtics,6,4,4,2,5,3,1,0,1860
Allen,Tony,SF,Bulls,91,21,47,9,103,19,11,3,16390
Aminu,Al-Farouq,PF,Trail Blazers,471,63,423,67,529,61,56,32,102079
Anderson,Alan,SG,Clippers,0,0,0,0,0,0,0,0,0
Anderson,Justin,SF,76ers,144,25,66,15,171,10,12,5,23212
Anderson,Kyle,SF,Spurs,375,129,344,172,495,82,96,49,100451
Anderson,Ryan,PF,Rockets,451,85,306,56,583,41,23,19,95848
Anigbogu,Ike,C,Pacers,9,6,9,0,13,2,1,3,1657
Antetokounmpo,Giannis,SF,Bucks,1233,577,660,312,1779,188,97,94,145131
Anthony,Carmelo,PF,Thunder,1041,173,393,88,1133,89,42,43,131349
Anunoby,OG,SF,Raptors,292,53,149,48,363,39,47,10,75652
Arcidiacono,Ryan,G,Bulls,12,2,7,13,15,3,5,0,7173
Ariza,Trevor,SF,Rockets,552,76,257,91,685,51,85,12,117921
Arthur,Darrell,PF,Nuggets,45,3,15,9,51,15,8,2,8005
Artis,Jamiel,SG,Magic,17,3,7,4,9,0,0,0,3315
Asik,Omer,C,Bulls,16,12,37,2,18,5,1,2,7249
Atkinson,Kenny,C,Nets,0,0,0,0,0,0,0,0,720
Augustin,D.J.,PG,Magic,431,162,124,232,628,100,49,0,86516
Babbitt,Luke,PF,Heat,204,22,92,29,256,19,9,7,40597
Bacon,Dwayne,SF,Hornets,135,18,97,25,123,15,12,2,31884
Baker,Ron,PG,Knicks,59,27,30,47,71,18,26,6,23081
Baldwin IV,Wade,G,Trail Blazers,0,2,1,0,1,1,0,0,180
Ball,Lonzo,PG,Lakers,517,61,325,333,483,124,82,40,95358
Barea,J.J.,SG,Mavericks,640,100,189,405,739,134,33,3,89504
Barnes,Harrison,SF,Mavericks,1034,284,427,131,1255,102,46,13,137699
Barton,Will,SG,Nuggets,850,180,343,284,1026,129,71,42,134117
Batum,Nicolas,SG,Hornets,593,112,274,310,669,113,63,20,106851
Bayless,Jerryd,PG,76ers,262,44,80,54,307,46,23,6,55480
Baynes,Aron,C,Celtics,358,74,360,72,387,68,18,46,74308
Bazemore,Kent,SG,Hawks,676,201,248,228,836,157,100,45,107354
Beal,Bradley,SG,Wizards,1295,331,314,328,1629,184,84,32,153101
Beasley,Malik,SG,Nuggets,173,29,71,30,185,23,15,5,33342
Beasley,Michael,PF,Knicks,656,139,347,99,791,120,28,36,82039
Belinelli,Marco,SG,76ers,605,131,119,116,738,70,52,5,93966
Bell,Jordan,PF,Warriors,143,37,162,81,214,42,29,47,37932
Bembry,DeAndre',SF,Hawks,101,25,56,31,103,38,13,10,21836
Bender,Dragan,PF,Suns,400,44,281,114,440,92,19,43,104454
Bennett,Anthony,PF,Nets,0,0,0,0,0,0,0,0,0
Bertans,Davis,PF,Spurs,337,49,144,68,422,32,25,26,60361
Beverley,Patrick,PG,Clippers,119,17,45,32,134,25,19,5,20014
Bickerstaff,John-Blair,C,Grizzlies,0,0,0,0,0,0,0,0,2160
Birch,Khem,PF,Magic,75,30,107,20,95,16,11,12,22289
Bird,Jabari,SG,Celtics,4,5,3,1,5,1,1,0,1541
Biyombo,Bismack,C,Magic,288,131,401,56,386,74,18,82,78395
Bjelica,Nemanja,SF,Timberwolves,297,39,219,70,388,43,38,11,64667
Black,Tarik,PF,Rockets,109,50,129,9,151,30,18,24,25869
Blakeney,Antonio,PG,Bulls,122,32,26,16,130,8,7,0,15871
Bledsoe,Eric,PG,Bucks,821,268,232,287,1057,183,125,34,114514
Blue,Vander,SG,Lakers,5,2,1,3,3,3,1,0,2695
Bogdanovic,Bogdan,SG,Kings,667,108,194,226,800,108,63,16,112602
Bogdanovic,Bojan,SF,Pacers,722,182,228,105,966,92,51,7,127459
Bogut,Andrew,C,Lakers,25,2,78,15,36,19,4,13,12984
Bolomboy,Joel,PF,Bucks,6,6,10,0,9,2,2,0,2267
Booker,Devin,SG,Suns,1054,329,244,253,1346,193,47,14,111915
Booker,Trevor,PF,Pacers,290,84,269,71,364,56,23,19,59603
Boucher,Chris,PF,Warriors,1,0,1,0,0,0,0,0,79
