gameorder,game_id,lg_id,is_copy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,msf_game_id
59214,201210300CLE,NBA,1,2013,2012-10-30,1,0,WAS,Wizards,84,1450.8339,1440.3092,CLE,Cavaliers,94,1346.9901,1357.5148,A,L,NA
59214,201210300CLE,NBA,0,2013,2012-10-30,1,0,CLE,Cavaliers,94,1346.9901,1357.5148,WAS,Wizards,84,1450.8339,1440.3092,H,W,NA
59215,201210300LAL,NBA,0,2013,2012-10-30,1,0,LAL,Lakers,91,1555.7339,1541.7585,DAL,Mavericks,99,1519.9543,1533.9297,H,L,NA
59215,201210300LAL,NBA,1,2013,2012-10-30,1,0,DAL,Mavericks,99,1519.9543,1533.9297,LAL,Lakers,91,1555.7339,1541.7585,A,W,NA
59216,201210300MIA,NBA,1,2013,2012-10-30,1,0,BOS,Celtics,107,1592.0532,1586.1121,MIA,Heat,120,1660.3782,1666.3193,A,L,NA
59216,201210300MIA,NBA,0,2013,2012-10-30,1,0,MIA,Heat,120,1660.3782,1666.3193,BOS,Celtics,107,1592.0532,1586.1121,H,W,NA
59217,201210310CHI,NBA,1,2013,2012-10-31,1,0,SAC,Kings,87,1417.2316,1415.1243,CHI,Bulls,93,1596.7417,1598.849,A,L,NA
59217,201210310CHI,NBA,0,2013,2012-10-31,1,0,CHI,Bulls,93,1596.7417,1598.849,SAC,Kings,87,1417.2316,1415.1243,H,W,NA
59218,201210310DET,NBA,0,2013,2012-10-31,1,0,DET,Pistons,96,1430.9758,1420.1541,HOU,Rockets,105,1501.2556,1512.0774,H,L,NA
59218,201210310DET,NBA,1,2013,2012-10-31,1,0,HOU,Rockets,105,1501.2556,1512.0774,DET,Pistons,96,1430.9758,1420.1541,A,W,NA
59219,201210310LAC,NBA,1,2013,2012-10-31,1,0,MEM,Grizzlies,92,1578.983,1571.9635,LAC,Clippers,101,1560.9281,1567.9476,A,L,NA
59219,201210310LAC,NBA,0,2013,2012-10-31,1,0,LAC,Clippers,101,1560.9281,1567.9476,MEM,Grizzlies,92,1578.983,1571.9635,H,W,NA
59220,201210310NOH,NBA,1,2013,2012-10-31,1,0,SAS,Spurs,99,1676.2136,1680.0112,NOP,Pelicans,95,1453.0475,1449.2499,A,W,NA
59220,201210310NOH,NBA,0,2013,2012-10-31,1,0,NOP,Pelicans,95,1453.0475,1449.2499,SAS,Spurs,99,1676.2136,1680.0112,H,L,NA
59221,201210310PHI,NBA,0,2013,2012-10-31,1,0,PHI,76ers,84,1537.5059,1545.1703,DEN,Nuggets,75,1576.3953,1568.7308,H,W,NA
59221,201210310PHI,NBA,1,2013,2012-10-31,1,0,DEN,Nuggets,75,1576.3953,1568.7308,PHI,76ers,84,1537.5059,1545.1703,A,L,NA
59222,201210310PHO,NBA,0,2013,2012-10-31,1,0,PHX,Suns,85,1530.1812,1521.2568,GSW,Warriors,87,1421.1807,1430.105,H,L,NA
59222,201210310PHO,NBA,1,2013,2012-10-31,1,0,GSW,Warriors,87,1421.1807,1430.105,PHX,Suns,85,1530.1812,1521.2568,A,W,NA
59223,201210310POR,NBA,0,2013,2012-10-31,1,0,POR,Trail Blazers,116,1450.6614,1460.7015,LAL,Lakers,106,1541.7585,1531.7184,H,W,NA
59223,201210310POR,NBA,1,2013,2012-10-31,2,0,LAL,Lakers,106,1541.7585,1531.7184,POR,Trail Blazers,116,1450.6614,1460.7015,A,L,NA
59224,201210310TOR,NBA,1,2013,2012-10-31,1,0,IND,Pacers,90,1561.7098,1566.1174,TOR,Raptors,88,1437.3424,1432.9348,A,W,NA
59224,201210310TOR,NBA,0,2013,2012-10-31,1,0,TOR,Raptors,88,1437.3424,1432.9348,IND,Pacers,90,1561.7098,1566.1174,H,L,NA
59225,201210310UTA,NBA,1,2013,2012-10-31,2,0,DAL,Mavericks,94,1533.9297,1523.317,UTA,Jazz,113,1532.3057,1542.9183,A,L,NA
59225,201210310UTA,NBA,0,2013,2012-10-31,1,0,UTA,Jazz,113,1532.3057,1542.9183,DAL,Mavericks,94,1533.9297,1523.317,H,W,NA
59226,201211010SAS,NBA,0,2013,2012-11-01,2,0,SAS,Spurs,86,1680.0112,1682.9431,OKL,Thunder,84,1659.13,1656.1981,H,W,NA
59226,201211010SAS,NBA,1,2013,2012-11-01,1,0,OKL,Thunder,84,1659.13,1656.1981,SAS,Spurs,86,1680.0112,1682.9431,A,L,NA
59227,201211020ATL,NBA,1,2013,2012-11-02,2,0,HOU,Rockets,109,1512.0774,1524.9491,ATL,Hawks,102,1545.6381,1532.7664,A,W,NA
59227,201211020ATL,NBA,0,2013,2012-11-02,1,0,ATL,Hawks,102,1545.6381,1532.7664,HOU,Rockets,109,1512.0774,1524.9491,H,L,NA
59228,201211020BOS,NBA,0,2013,2012-11-02,2,0,BOS,Celtics,88,1586.1121,1566.8929,MIL,Bucks,99,1501.167,1520.3861,H,L,NA
59228,201211020BOS,NBA,1,2013,2012-11-02,1,0,MIL,Bucks,99,1501.167,1520.3861,BOS,Celtics,88,1586.1121,1566.8929,A,W,NA
59229,201211020CHA,NBA,0,2013,2012-11-02,1,0,CHA,Hornets,90,1240.0372,1247.7948,IND,Pacers,89,1566.1174,1558.3599,H,W,NA
59229,201211020CHA,NBA,1,2013,2012-11-02,2,0,IND,Pacers,89,1566.1174,1558.3599,CHA,Hornets,90,1240.0372,1247.7948,A,L,NA
59230,201211020CLE,NBA,0,2013,2012-11-02,2,0,CLE,Cavaliers,86,1357.5148,1345.7418,CHI,Bulls,115,1598.849,1610.6219,H,L,NA
59230,201211020CLE,NBA,1,2013,2012-11-02,2,0,CHI,Bulls,115,1598.849,1610.6219,CLE,Cavaliers,86,1357.5148,1345.7418,A,W,NA
59231,201211020GSW,NBA,0,2013,2012-11-02,2,0,GSW,Warriors,94,1430.105,1421.2677,MEM,Grizzlies,104,1571.9635,1580.8008,H,L,NA
59231,201211020GSW,NBA,1,2013,2012-11-02,2,0,MEM,Grizzlies,104,1571.9635,1580.8008,GSW,Warriors,94,1430.105,1421.2677,A,W,NA
59232,201211020LAL,NBA,0,2013,2012-11-02,3,0,LAL,Lakers,95,1531.7184,1518.7981,LAC,Clippers,105,1567.9476,1580.8679,H,L,NA
59232,201211020LAL,NBA,1,2013,2012-11-02,2,0,LAC,Clippers,105,1567.9476,1580.8679,LAL,Lakers,95,1531.7184,1518.7981,A,W,NA
59233,201211020MIN,NBA,1,2013,2012-11-02,2,0,SAC,Kings,80,1415.1243,1407.2527,MIN,Timberwolves,92,1411.7732,1419.6448,A,L,NA
59233,201211020MIN,NBA,0,2013,2012-11-02,1,0,MIN,Timberwolves,92,1411.7732,1419.6448,SAC,Kings,80,1415.1243,1407.2527,H,W,NA
59234,201211020NOH,NBA,1,2013,2012-11-02,2,0,UTA,Jazz,86,1542.9183,1538.1984,NOP,Pelicans,88,1449.2499,1453.9698,A,L,NA
59234,201211020NOH,NBA,0,2013,2012-11-02,2,0,NOP,Pelicans,88,1449.2499,1453.9698,UTA,Jazz,86,1542.9183,1538.1984,H,W,NA
59235,201211020NYK,NBA,0,2013,2012-11-02,1,0,NYK,Knicks,104,1529.618,1548.2699,MIA,Heat,84,1666.3193,1647.6675,H,W,NA
59235,201211020NYK,NBA,1,2013,2012-11-02,2,0,MIA,Heat,84,1666.3193,1647.6675,NYK,Knicks,104,1529.618,1548.2699,A,L,NA
59236,201211020OKC,NBA,0,2013,2012-11-02,2,0,OKL,Thunder,106,1656.1981,1659.4091,POR,Trail Blazers,92,1460.7015,1457.4906,H,W,NA
59236,201211020OKC,NBA,1,2013,2012-11-02,2,0,POR,Trail Blazers,92,1460.7015,1457.4906,OKL,Thunder,106,1656.1981,1659.4091,A,L,NA
59237,201211020ORL,NBA,0,2013,2012-11-02,1,0,ORL,Magic,102,1478.0159,1489.8534,DEN,Nuggets,89,1568.7308,1556.8933,H,W,NA
59237,201211020ORL,NBA,1,2013,2012-11-02,2,0,DEN,Nuggets,89,1568.7308,1556.8933,ORL,Magic,102,1478.0159,1489.8534,A,L,NA
59238,201211020PHO,NBA,0,2013,2012-11-02,2,0,PHX,Suns,92,1521.2568,1523.5597,DET,Pistons,89,1420.1541,1417.8512,H,W,NA
59238,201211020PHO,NBA,1,2013,2012-11-02,2,0,DET,Pistons,89,1420.1541,1417.8512,PHX,Suns,92,1521.2568,1523.5597,A,L,NA
59239,201211030BRK,NBA,1,2013,2012-11-03,2,0,TOR,Raptors,100,1432.9348,1425.674,BRO,Nets,107,1371.431,1378.6919,A,L,NA
59239,201211030BRK,NBA,0,2013,2012-11-03,1,0,BRO,Nets,107,1371.431,1378.6919,TOR,Raptors,100,1432.9348,1425.674,H,W,NA
59240,201211030CHI,NBA,0,2013,2012-11-03,3,0,CHI,Bulls,82,1610.6219,1593.3835,NOP,Pelicans,89,1453.9698,1471.2083,H,L,NA
59240,201211030CHI,NBA,1,2013,2012-11-03,3,0,NOP,Pelicans,89,1453.9698,1471.2083,CHI,Bulls,82,1610.6219,1593.3835,A,W,NA
59241,201211030DAL,NBA,0,2013,2012-11-03,3,0,DAL,Mavericks,126,1523.317,1526.5341,CHA,Hornets,99,1247.7948,1244.5778,H,W,NA
59241,201211030DAL,NBA,1,2013,2012-11-03,2,0,CHA,Hornets,99,1247.7948,1244.5778,DAL,Mavericks,126,1523.317,1526.5341,A,L,NA
59242,201211030HOU,NBA,1,2013,2012-11-03,3,0,POR,Trail Blazers,95,1457.4906,1474.8397,HOU,Rockets,85,1524.9491,1507.6,A,W,NA
59242,201211030HOU,NBA,0,2013,2012-11-03,3,0,HOU,Rockets,85,1524.9491,1507.6,POR,Trail Blazers,95,1457.4906,1474.8397,H,L,NA
59243,201211030IND,NBA,0,2013,2012-11-03,3,0,IND,Pacers,106,1558.3599,1561.2434,SAC,Kings,98,1407.2527,1404.3691,H,W,NA
59243,201211030IND,NBA,1,2013,2012-11-03,3,0,SAC,Kings,98,1407.2527,1404.3691,IND,Pacers,106,1558.3599,1561.2434,A,L,NA
59244,201211030LAC,NBA,1,2013,2012-11-03,3,0,GSW,Warriors,114,1421.2677,1434.3062,LAC,Clippers,110,1580.8679,1567.8295,A,W,NA
59244,201211030LAC,NBA,0,2013,2012-11-03,3,0,LAC,Clippers,110,1580.8679,1567.8295,GSW,Warriors,114,1421.2677,1434.3062,H,L,NA
59245,201211030MIA,NBA,1,2013,2012-11-03,3,0,DEN,Nuggets,116,1556.8933,1554.4674,MIA,Heat,119,1647.6675,1650.0934,A,L,NA
59245,201211030MIA,NBA,0,2013,2012-11-03,3,0,MIA,Heat,119,1647.6675,1650.0934,DEN,Nuggets,116,1556.8933,1554.4674,H,W,NA
59246,201211030MIL,NBA,0,2013,2012-11-03,2,0,MIL,Bucks,105,1520.3861,1521.9506,CLE,Cavaliers,102,1345.7418,1344.1774,H,W,NA
