lastName,firstName,Pos,teamName,teamAbb,PTS,REB,AST,STL,BLK,TOV,X3PM,msf.gameID,gameDate,fullName
Baynes,Aron,C,Celtics,BOS,6,5,1,0,1,2,0,20171017-BOS-CLE,2017-10-17,Aron Baynes
Brown,Jaylen,SF,Celtics,BOS,25,6,0,2,0,3,2,20171017-BOS-CLE,2017-10-17,Jaylen Brown
Crowder,Jae,PF,Cavaliers,CLE,11,5,2,2,0,1,1,20171017-BOS-CLE,2017-10-17,Jae Crowder
Green,Jeff,PF,Cavaliers,CLE,6,0,0,0,0,1,0,20171017-BOS-CLE,2017-10-17,Jeff Green
Hayward,Gordon,SF,Celtics,BOS,2,1,0,0,0,0,0,20171017-BOS-CLE,2017-10-17,Gordon Hayward
Horford,Al,C,Celtics,BOS,9,7,5,0,1,0,0,20171017-BOS-CLE,2017-10-17,Al Horford
Irving,Kyrie,PG,Celtics,BOS,22,4,10,3,0,2,4,20171017-BOS-CLE,2017-10-17,Kyrie Irving
James,LeBron,SF,Cavaliers,CLE,29,16,9,0,2,4,1,20171017-BOS-CLE,2017-10-17,LeBron James
Korver,Kyle,SG,Cavaliers,CLE,0,0,0,0,0,0,0,20171017-BOS-CLE,2017-10-17,Kyle Korver
Larkin,Shane,PG,Celtics,BOS,0,1,0,0,0,0,0,20171017-BOS-CLE,2017-10-17,Shane Larkin
Love,Kevin,PF,Cavaliers,CLE,15,11,0,0,0,2,1,20171017-BOS-CLE,2017-10-17,Kevin Love
Ojeleye,Semi,SF,Celtics,BOS,0,0,0,0,0,0,0,20171017-BOS-CLE,2017-10-17,Semi Ojeleye
Rose,Derrick,PG,Cavaliers,CLE,14,4,2,0,0,2,1,20171017-BOS-CLE,2017-10-17,Derrick Rose
Rozier,Terry,PG,Celtics,BOS,9,3,2,4,0,0,1,20171017-BOS-CLE,2017-10-17,Terry Rozier
Shumpert,Iman,SG,Cavaliers,CLE,4,2,0,1,0,1,0,20171017-BOS-CLE,2017-10-17,Iman Shumpert
Smart,Marcus,SG,Celtics,BOS,12,9,3,2,2,2,0,20171017-BOS-CLE,2017-10-17,Marcus Smart
