team.Abbreviation,stat,value,foragainst
ATL,GP,70,for
BOS,GP,70,for
BRO,GP,70,for
CHA,GP,70,for
CHI,GP,69,for
CLE,GP,69,for
DAL,GP,70,for
DEN,GP,70,for
DET,GP,69,for
GSW,GP,70,for
HOU,GP,70,for
IND,GP,70,for
LAC,GP,69,for
LAL,GP,69,for
MEM,GP,69,for
MIA,GP,70,for
MIL,GP,69,for
MIN,GP,71,for
NOP,GP,70,for
NYK,GP,70,for
OKL,GP,72,for
ORL,GP,70,for
PHI,GP,68,for
PHX,GP,71,for
POR,GP,70,for
SAC,GP,71,for
SAS,GP,70,for
TOR,GP,70,for
UTA,GP,70,for
WAS,GP,70,for
ATL,PTS,104,for
BOS,PTS,104.3,for
BRO,PTS,106.1,for
CHA,PTS,107.2,for
CHI,PTS,103.7,for
CLE,PTS,110.3,for
DAL,PTS,102.6,for
DEN,PTS,109,for
DET,PTS,102.6,for
GSW,PTS,115.4,for
HOU,PTS,113.6,for
IND,PTS,105.8,for
LAC,PTS,109.3,for
LAL,PTS,108.5,for
MEM,PTS,98.8,for
MIA,PTS,102.5,for
MIL,PTS,105.5,for
MIN,PTS,109.8,for
NOP,PTS,111.7,for
NYK,PTS,104.3,for
OKL,PTS,107.4,for
ORL,PTS,104.7,for
PHI,PTS,108.1,for
PHX,PTS,104.4,for
POR,PTS,106,for
SAC,PTS,99.5,for
SAS,PTS,102.4,for
TOR,PTS,112.5,for
UTA,PTS,103.1,for
WAS,PTS,107.5,for
ATL,REB,49.2,for
BOS,REB,52.8,for
BRO,REB,52.6,for
CHA,REB,54.1,for
CHI,REB,52.3,for
CLE,REB,49.3,for
DAL,REB,48.3,for
DEN,REB,52.2,for
DET,REB,51.2,for
GSW,REB,50.6,for
HOU,REB,51.2,for
IND,REB,49.7,for
LAC,REB,52.6,for
LAL,REB,55.1,for
MEM,REB,48.8,for
MIA,REB,51,for
MIL,REB,47.1,for
MIN,REB,49.5,for
NOP,REB,52,for
NYK,REB,52.2,for
OKL,REB,54.4,for
ORL,REB,49.1,for
PHI,REB,54.8,for
PHX,REB,53.1,for
POR,REB,53.5,for
SAC,REB,48.5,for
SAS,REB,51.6,for
TOR,REB,51.3,for
UTA,REB,50.3,for
WAS,REB,51.3,for
ATL,ORB,15.2,for
BOS,ORB,15.4,for
BRO,ORB,15.5,for
CHA,ORB,17.4,for
CHI,ORB,15.2,for
CLE,ORB,13.4,for
DAL,ORB,13.3,for
DEN,ORB,16.9,for
DET,ORB,16,for
