team1,team1score,team2,team2score,Week,Year
Dayton Triangles,14, Columbus Panhandles,0,01,1920
Rock Island Independents,45, Muncie Flyers,0,01,1920
Akron Pros,37, Columbus Panhandles,0,02,1920
Chicago Tigers,0, Chicago Cardinals,0,02,1920
Dayton Triangles,0, Cleveland Tigers,0,02,1920
Rock Island Independents,26, Hammond Pros,0,02,1920
Canton Bulldogs,7, Cleveland Tigers,0,03,1920
Chicago Tigers,12, Detroit Heralds,0,03,1920
Dayton Triangles,44, Hammond Pros,0,03,1920
Decatur Staleys,7, Rock Island Independents,0,03,1920
Akron Pros,7, Cleveland Tigers,0,04,1920
Dayton Triangles,20, Canton Bulldogs,20,04,1920
Decatur Staleys,10, Chicago Tigers,0,04,1920
Detroit Heralds,6, Columbus Panhandles,0,04,1920
Rock Island Independents,7, Chicago Cardinals,0,04,1920
Akron Pros,10, Canton Bulldogs,0,05,1920
Buffalo All-Americans,17, Rochester Jeffersons,6,05,1920
Chicago Cardinals,21, Detroit Heralds,0,05,1920
Cleveland Tigers,7, Columbus Panhandles,0,05,1920
Rock Island Independents,20, Chicago Tigers,7,05,1920
Canton Bulldogs,18, Cleveland Tigers,0,06,1920
Chicago Cardinals,6, Chicago Tigers,3,06,1920
Rock Island Independents,0, Decatur Staleys,0,06,1920
Buffalo All-Americans,43, Columbus Panhandles,7,07,1920
Canton Bulldogs,21, Chicago Tigers,0,07,1920
Cleveland Tigers,7, Akron Pros,7,07,1920
Dayton Triangles,21, Rock Island Independents,0,07,1920
Akron Pros,13, Dayton Triangles,0,08,1920
Canton Bulldogs,3, Buffalo All-Americans,0,08,1920
Decatur Staleys,28, Hammond Pros,7,08,1920
Akron Pros,7, Canton Bulldogs,0,09,1920
Akron Pros,14, Dayton Triangles,0,09,1920
Buffalo All-Americans,7, Cleveland Tigers,0,09,1920
Chicago Cardinals,7, Decatur Staleys,6,09,1920
Dayton Triangles,28, Detroit Heralds,0,09,1920
Decatur Staleys,6, Chicago Tigers,0,09,1920
Buffalo All-Americans,7, Canton Bulldogs,3,10,1920
Buffalo All-Americans,0, Akron Pros,0,10,1920
Decatur Staleys,10, Chicago Cardinals,0,10,1920
Decatur Staleys,0, Akron Pros,0,11,1920
Akron Pros,14, Columbus Panhandles,0,01,1921
Akron Pros,41, Cincinnati Celts,0,02,1921
