player.id,global.player.id,period,game.clock,time,points.type,touch.time,dribbles,shot.distance,result,offense.direction,x_loc,y_loc,game.id
3928,263884,1,10:49,1453777902646,3,0.72,0,24.55,made,left,12.24495,48.53303,2016012523
3928,263884,1,10:01,1453777950085,3,1,0,22.97,missed,left,6.47415,47.93265,2016012523
3928,263884,1,8:53,1453778030602,2,0.82,0,24.26,missed,left,15.76298,3.13579,2016012523
3928,263884,1,5:15,1453778303675,2,0.72,0,7.97,missed,left,6.35304,32.89579,2016012523
3928,263884,2,4:15,1453780564215,3,1,0,24.51,missed,left,29.61266,27.67949,2016012523
3928,263884,2,2:55,1453780700692,3,0.92,0,24.37,missed,left,29.49227,27.46748,2016012523
3928,263884,2,2:49,1453780706492,2,1.52,1,1.79,missed,left,6.75183,24.03173,2016012523
3928,263884,3,11:49,1453782187452,2,1.12,0,1.21,made,right,88.31471,26.12398,2016012523
3928,263884,3,11:22,1453782231851,2,1.05,0,20.26,made,right,75.17679,9.95965,2016012523
3928,263884,3,10:15,1453782369087,3,0.8,0,22.3,made,right,84.34061,46.85731,2016012523
3928,263884,3,6:09,1453782705199,2,2.28,1,4.67,made,right,87.4987,29.49475,2016012523
3928,263884,3,5:14,1453783010790,3,0.76,0,24.19,made,right,73.57403,43.83587,2016012523
3928,263884,3,4:23,1453783142587,2,0.88,0,6.35,missed,right,86.65593,19.00883,2016012523
3928,263884,3,4:23,1453783143107,2,0.48,0,5.24,made,right,87.23567,19.98263,2016012523
3928,263884,3,3:28,1453783247945,3,2.21,0,26.22,missed,right,62.54291,24.33273,2016012523
3928,263884,3,3:11,1453783265384,2,0.4,0,2.24,made,right,87.04218,26.44619,2016012523
3928,263884,4,2:06,1453785275490,2,0,0,20.24,missed,right,79.79283,6.84818,2016012523
5337,609567,1,6:25,1453778233558,2,2.28,2,11.66,missed,left,15.34971,30.83597,2016012523
5337,609567,2,3:33,1453780630894,2,1.72,1,6.32,made,left,4.67559,18.70462,2016012523
5337,609567,2,3:30,1453780665413,3,0.88,0,27.32,missed,left,24.78673,44.10336,2016012523
5337,609567,3,9:41,1453782430526,3,0.8,0,22.78,made,right,89.57109,47.76034,2016012523
5337,609567,3,2:01,1453783335102,3,2.6,1,24.41,missed,right,68.47921,11.39735,2016012523
5337,609567,3,0:39,1453783607854,2,8.12,5,3.66,missed,right,86.17016,27.59833,2016012523
5337,609567,6,4:27,1453788078054,3,0.72,0,23.6,missed,right,79.02419,46.50023,2016012523
4288,329824,1,10:14,1453777937565,2,1.04,0,15.79,made,left,3.72907,9.27893,2016012523
4288,329824,1,4:41,1453778500551,3,0.92,0,26.77,missed,left,17.97645,48.55477,2016012523
4288,329824,1,4:20,1453778521549,2,2.4,0,16.62,missed,left,12.5266,39.94481,2016012523
4288,329824,2,5:42,1453780368981,2,0.68,0,3.68,made,left,6.65156,21.6027,2016012523
4288,329824,2,2:26,1453780901126,2,0.52,0,2.25,made,left,7.31712,25.89107,2016012523
4288,329824,3,10:54,1453782285610,3,1,0,24.4,made,right,69.3878,39.84411,2016012523
4288,329824,3,9:13,1453782458685,3,0.92,0,24.57,made,right,68.34328,38.69079,2016012523
4288,329824,3,7:29,1453782625201,3,0.85,0,26.4,made,right,69.18056,42.71774,2016012523
4288,329824,3,6:58,1453782655840,3,0.64,0,28.9,made,right,64.82563,41.22106,2016012523
4288,329824,4,6:12,1453784497190,2,0.76,0,13.29,missed,right,75.52635,23.6993,2016012523
4795,340730,1,9:49,1453777962684,2,1.76,1,22,missed,left,15.62898,44.39853,2016012523
4795,340730,1,8:07,1453778087241,2,1.96,1,24.3,missed,left,17.19592,3.84383,2016012523
4795,340730,1,7:57,1453778097881,2,4,3,3.69,made,left,8.75443,26.1651,2016012523
4795,340730,1,5:44,1453778275076,2,3.2,3,21.04,missed,left,15.86264,6.82884,2016012523
4795,340730,1,4:02,1453778539469,2,4.32,5,3.91,missed,left,7.84923,22.08314,2016012523
4795,340730,2,9:59,1453779901873,2,3.4,2,10.13,made,left,15.37396,24.83008,2016012523
4795,340730,2,8:08,1453780064030,3,0.93,0,24.34,made,left,25.19171,38.95406,2016012523
4795,340730,2,7:45,1453780087628,2,6.76,6,2.85,made,left,7.51166,26.74163,2016012523
4795,340730,2,6:05,1453780346622,2,2.92,3,17.05,missed,left,16.50478,12.18711,2016012523
4795,340730,2,1:48,1453780939486,2,2.44,1,17.16,made,left,12.75742,9.57391,2016012523
4795,340730,2,1:29,1453780958285,3,0.96,0,26.49,missed,left,29.61653,14.61142,2016012523
4795,340730,2,0:43,1453781057282,2,1.89,1,3.61,made,left,6.18479,28.4847,2016012523
4795,340730,3,8:08,1453782585921,3,4.12,3,25.36,made,right,71.09451,43.20309,2016012523
4795,340730,3,3:48,1453783177906,2,11.05,13,12.26,missed,right,87.26578,37.16712,2016012523
4795,340730,4,10:25,1453783956764,2,8.24,7,19.49,missed,right,74.42107,11.78433,2016012523
4795,340730,4,9:37,1453784004724,2,2.48,2,6.56,missed,right,82.30791,23.75277,2016012523
4795,340730,4,8:39,1453784228318,2,1.16,0,1.84,missed,right,87.93754,26.64993,2016012523
4795,340730,5,4:42,1453786525615,2,5.72,5,20.52,made,right,68.58574,28.80138,2016012523
4795,340730,6,2:29,1453788526642,3,3.45,2,24.71,missed,right,64.4206,20.66486,2016012523
4890,462980,1,11:17,1453777874246,2,4.2,5,1.86,made,left,3.88608,23.74146,2016012523
4890,462980,1,9:16,1453777995603,2,10.68,11,15.53,missed,left,5.71322,9.48096,2016012523
4890,462980,1,7:28,1453778143680,3,3.92,4,29.93,missed,left,35.16841,24.23008,2016012523
4890,462980,1,6:48,1453778197358,2,8.8,10,19.49,missed,left,24.39652,21.37161,2016012523
4890,462980,1,6:18,1453778240597,3,3.55,3,23.51,missed,left,26.2598,14.4536,2016012523
4890,462980,1,3:44,1453778611387,3,9.56,11,24.41,missed,left,29.63309,26.06775,2016012523
4890,462980,1,2:50,1453778774584,2,3.8,4,10.22,missed,left,12.0759,17.39143,2016012523
4890,462980,1,1:25,1453779118734,2,11.32,12,18.75,missed,left,23.12974,30.6404,2016012523
4890,462980,2,0:50,1453781050363,2,8.85,11,19.57,missed,left,24.48693,28.58877,2016012523
4890,462980,2,0:05,1453781220159,2,1.02,0,11.83,missed,left,79.21074,31.99929,2016012523
4890,462980,3,6:31,1453782683439,2,11.56,12,5.94,missed,right,82.86185,25.75517,2016012523
4890,462980,3,5:33,1453782972951,3,3.56,3,25.81,missed,right,63.47644,19.77465,2016012523
4890,462980,3,3:13,1453783263343,2,11.6,6,21.29,missed,right,67.8512,20.95982,2016012523
4890,462980,3,0:03,1453783644053,2,21.78,21,18.85,made,right,75.17608,11.91649,2016012523
4890,462980,4,5:39,1453784681465,3,1.56,1,23.75,made,right,65.03124,23.80015,2016012523
4890,462980,4,3:31,1453784924178,2,8.26,10,19.57,made,right,75.76645,10.35817,2016012523
4890,462980,4,2:55,1453785173332,3,12.41,13,24.28,missed,right,64.7126,28.39538,2016012523
4890,462980,4,0:36,1453785703597,2,19.01,23,19.55,missed,right,69.861,30.0376,2016012523
4890,462980,5,4:05,1453786618613,3,3.85,4,24.33,missed,right,65.83868,16.80422,2016012523
4890,462980,5,2:00,1453786950724,2,7.77,8,21.68,made,right,73.57248,9.52335,2016012523
4890,462980,5,1:20,1453786995403,2,6.79,6,4.41,missed,right,87.20333,20.8698,2016012523
4890,462980,5,1:02,1453787013483,2,12.24,11,15.22,missed,right,73.96208,28.59458,2016012523
4890,462980,5,0:02,1453787491069,2,23.3,25,5.56,missed,right,87.33837,30.37349,2016012523
4890,462980,5,0:01,1453787815621,3,0.58,1,34.94,missed,right,54.05869,29.16185,2016012523
4890,462980,6,2:57,1453788478564,2,10.08,11,20.84,missed,right,68.99883,18.36628,2016012523
5282,513526,1,3:19,1453778746264,2,2.2,1,6.37,missed,left,7.84201,30.8197,2016012523
5282,513526,1,0:54,1453779193453,3,0.88,0,25.15,missed,left,30.40083,25.45119,2016012523
5282,513526,2,11:44,1453779564522,3,0.64,0,24.35,made,left,3.61321,0.70203,2016012523
5282,513526,2,10:43,1453779815715,3,1.52,1,24.74,made,left,28.05385,15.41509,2016012523
5282,513526,3,1:43,1453783352702,3,0.68,0,24.25,made,right,73.90537,44.17082,2016012523
5282,513526,3,1:10,1453783574575,2,0.8,0,21.22,made,right,69.93985,15.18049,2016012523
5282,513526,4,11:33,1453783843448,2,0.8,0,13.33,missed,right,91.06868,38.12853,2016012523
5282,513526,4,8:01,1453784266916,3,0.64,0,22.23,missed,right,90.35028,2.83066,2016012523
5282,513526,4,4:58,1453784722624,3,0.72,0,26.6,made,right,62.69966,30.38622,2016012523
5282,513526,4,4:03,1453784869980,3,0.68,0,25.94,made,right,72.05701,5.14748,2016012523
5282,513526,4,2:01,1453785280889,3,0.69,0,25.15,made,right,84.9829,49.86679,2016012523
5282,513526,5,2:57,1453786813568,3,0.24,0,22.5,made,right,85.03917,2.8093,2016012523
5282,513526,6,3:59,1453788279889,3,0.68,0,27.28,missed,right,68.00677,7.28283,2016012523
5282,513526,6,1:17,1453788745357,2,1.44,1,6.13,made,right,82.71818,26.09564,2016012523
5282,513526,6,0:11,1453789109187,3,1.32,0,30.4,made,right,60.14684,35.28694,2016012523
5469,606731,1,1:46,1453779097495,2,3.12,2,6.26,missed,left,7.62485,19.20509,2016012523
5469,606731,2,11:19,1453779589761,3,0.92,0,24.77,missed,left,28.97892,17.90994,2016012523
5469,606731,2,10:53,1453779805516,2,2.08,1,5.99,missed,left,10.13961,28.46124,2016012523
5469,606731,2,9:11,1453779974551,3,0.48,0,27.67,missed,left,20.12074,48.33237,2016012523
5469,606731,2,0:29,1453781121401,2,1.65,1,2.78,missed,left,6.16163,27.62717,2016012523
5469,606731,4,9:55,1453783985964,2,2.8,1,6.59,made,right,82.18724,25.57212,2016012523
5469,606731,5,3:02,1453786808488,3,0.69,0,25.49,missed,right,64.55643,16.96707,2016012523
5469,606731,5,1:32,1453786983243,3,1.12,0,25.35,missed,right,64.35538,31.90687,2016012523
